hgnc_symbol,role
CENPT,train
CENPU,train
CENPV,val
CENPW,train
CENPX,val
CEP104,val
CEP112,train
CEP120,val
CEP126,train
CEP128,train
CEP131,val
CEP135,train
CEP15,train
CEP162,calibration
CEP164,val
CEP170,train
CEP170B,train
CEP19,train
CEP20,calibration
CEP250,train
CEP290,train
CEP295,val
CEP350,train
CEP41,train
CEP43,train
CEP44,train
CEP55,train
CEP57,train
CEP57L1,challenge
CEP68,train
CEP70,train
CEP72,train
CEP76,train
CEP78,val
CEP83,train
CEP85,train
CEP85L,val
CEP89,train
CEP95,train
CEP97,val
CEPT1,train
CERK,train
CERKL,train
CERS2,train
CERS4,train
CERS5,train
CERS6,val
CERT1,challenge
CES2,train
CES3,train
CES4A,train
CETN2,train
CETN3,train
CETP,train
CFAP126,val
CFAP141,train
CFAP184,val
CFAP20,train
CFAP210,train
CFAP298,train
CFAP36,train
CFAP410,val
CFAP418,train
CFAP44,challenge
CFAP45,train
CFAP68,train
CFAP96,val
CFAP97,val
CFD,train
CFH,train
CFL2,train
CFP,val
CGAS,challenge
CGGBP1,train
CGREF1,train
CGRRF1,train
CH25H,challenge
CHAC1,train
CHAC2,train
CHAMP1,challenge
CHCHD1,train
CHCHD10,train
CHCHD2,train
CHCHD5,train
CHCHD6,train
CHCHD7,train
CHD1,train
CHD1L,train
CHD2,train
CHD3,train
CHD4,train
CHD6,train
CHD7,train
CHD8,train
CHD9,train
CHDH,challenge
CHEK2,train
CHFR,train
CHI3L2,train
CHIC1,train
CHIC2,train
CHID1,train
CHIT1,train
CHKA,train
CHKB,train
CHLSN,challenge
CHM,train
CHML,train
CHMP1A,train
CHMP1B,train
CHMP2B,train
CHMP4A,train
CHMP4B,train
CHMP7,train
CHN1,train
CHN2,train
CHORDC1,val
CHP1,train
CHPF,challenge
CHPF2,challenge
CHPT1,train
CHRAC1,calibration
CHRM4,train
CHRNA1,train
CHRNA10,train
CHRNA5,train
CHRNA6,train
CHRNB1,train
CHRNE,train
CHST10,train
CHST11,train
CHST12,train
CHST14,train
CHST15,val
CHST2,train
CHST7,train
CHSY1,train
CHTF18,train
CHTOP,challenge
CHUK,train
CHURC1,challenge
CIAO1,train
CIAO2A,challenge
CIAPIN1,train
CIART,train
CIB1,val
CIB2,train
CIBAR1,train
CIC,train
CIDEB,challenge
CIITA,val
CILK1,challenge
CIMAP1B,train
CIMIP5,train
CIP2A,challenge
CIPC,train
CIRBP,train
CIRSR,train
CISD1,challenge
CISD2,train
CISD3,train
CISH,train
CIT,calibration
CITED2,train
CITED4,train
CIZ1,calibration
CKAP2,val
CKAP2L,train
CKAP4,train
CKB,train
CKLF-CMTM1,train
CKS1B,challenge
CKS2,train
CLASP1,challenge
CLASP2,challenge
CLASRP,val
CLBA1,train
CLC,train
CLCA1,train
CLCC1,train
CLCF1,challenge
CLCN2,train
CLCN3,calibration
CLCN5,calibration
CLCN6,train
CLCN7,train
CLDN1,train
CLDN15,train
CLDN20,train
CLDN3,train
CLDN4,train
CLDN5,train
CLDN7,train
CLDND1,train
CLDND2,train
CLEC11A,challenge
CLEC12A,train
CLEC16A,val
CLEC2B,train
CLEC2D,train
CLEC4E,train
CLEC7A,train
CLECL1P,train
CLHC1,train
CLIC1,train
CLIC2,train
CLIC3,train
CLIC4,train
CLIC5,val
CLINT1,challenge
CLIP1,train
CLIP2,train
CLIP3,train
CLIP4,val
CLK1,challenge
CLK2,challenge
CLK3,challenge
CLK4,challenge
CLMB,train
CLMP,train
CLN3,val
CLN5,train
CLN6,train
CLN8,train
CLNK,challenge
CLOCK,train
CLP1,train
CLPB,calibration
CLPP,train
CLPTM1,train
CLPTM1L,train
CLPX,train
CLSTN1,val
CLSTN3,val
CLTA,train
CLTB,train
CLU,train
CLUH,challenge
CLYBL,train
CMAS,val
CMC1,val
CMC2,train
CMIP,train
CMKLR1,train
CMPK2,challenge
CMSS1,train
CMTM1,train
CMTM2,val
CMTM3,train
CMTM5,train
CMTM6,train
CMTM7,train
CMTM8,val
CMTR1,train
CMTR2,train
CNBD2,train
CNBP,train
CNDP2,train
CNEP1R1,train
CNIH1,train
CNIH2,train
CNIH4,train
CNKSR1,train
CNKSR2,train
CNKSR3,train
CNN2,train
CNN3,train
CNNM2,challenge
CNNM3,challenge
CNNM4,challenge
CNOT10,val
CNOT11,val
CNOT12,train
CNOT2,val
CNOT4,train
CNOT6,train
CNOT6L,train
CNOT7,val
CNOT8,val
CNOT9,val
CNP,val
CNPPD1,val
CNPY2,train
CNPY3,train
CNPY4,train
CNST,train
CNTD1,val
CNTF,train
CNTNAP1,train
CNTRL,train
CNTROB,val
COA1,val
COA3,val
COA4,challenge
COA5,train
COA6,challenge
COA7,train
COA8,train
COASY,train
COBLL1,val
COG5,train
COG6,train
COG7,train
COG8,train
COIL,train
COL11A2,train
COL16A1,train
COL18A1,challenge
COL1A1,val
COL22A1,train
COL27A1,val
COL4A1,train
COL4A2,train
COL5A1,train
COL5A2,val
COL5A3,train
COL6A1,train
COL6A2,train
COL6A3,challenge
COL7A1,challenge
COL9A2,train
COLGALT1,train
COLGALT2,challenge
COLQ,train
COMMD1,train
COMMD10,challenge
COMMD2,challenge
COMMD3-BMI1,train
COMMD4,challenge
COMMD5,challenge
COMMD6,challenge
COMMD7,train
COMMD8,challenge
COMMD9,challenge
COMT,calibration
COMTD1,val
COP1,train
COPG1,train
COPG2,train
COPRS,train
COPS4,train
COPS5,train
COPS7A,train
COPS7B,train
COPS8,train
COPS9,train
COQ10A,train
COQ10B,train
COQ2,val
COQ3,train
COQ4,train
COQ5,train
COQ6,train
COQ7,train
COQ8A,train
COQ8B,train
COQ9,train
CORO1A,train
CORO1B,train
CORO1C,train
CORO2A,train
CORO6,train
CORO7,challenge
COTL1,train
COX10,train
COX11,train
COX14,val
COX15,val
COX16,val
COX17,train
COX18,train
COX19,train
COX20,train
COX4I1,val
COX5A,val
COX5B,val
COX6A1,val
COX6B1,val
COX6C,val
COX7A2,val
COX7A2L,train
COX7B,val
COX7C,val
COX8A,train
COXFA4,train
COXFA4L3,train
CPA5,challenge
CPAP,train
CPD,challenge
CPEB1,val
CPEB2,challenge
CPEB3,challenge
CPEB4,challenge
CPLANE1,train
CPLANE2,train
CPM,train
CPNE1,train
CPNE2,train
CPNE3,train
CPNE5,train
CPNE7,train
CPNE8,train
CPOX,challenge
CPPED1,challenge
CPQ,train
CPSF6,train
CPSF7,train
CPT1A,train
CPT1B,train
CPT2,train
CPTP,train
CPVL,train
CPXCR1,train
CPXM1,val
CR1,train
CR2,train
CRABP2,challenge
CRACR2A,train
CRADD,train
CRAMP1,challenge
CRAT,train
CRB3,train
CRBN,train
CREB1,train
CREB3,val
CREB3L1,train
CREB3L2,train
CREB3L3,train
CREB3L4,train
CREB5,train
CREBBP,train
CREBL2,challenge
CREBRF,train
CREBZF,train
CREG1,train
CRELD1,challenge
CRELD2,train
CREM,train
CRIM1,train
CRIP1,challenge
CRIP2,train
CRIP3,train
CRIPT,challenge
CRISPLD2,train
CRK,train
CRKL,train
CRLF2,train
CRLF3,train
CRLS1,train
CROT,train
CRTAM,train
CRTAP,train
CRTC1,challenge
CRTC2,challenge
CRTC3,train
CRX,train
CRY1,train
CRY2,train
CRYAB,train
CRYBG1,train
CRYBG3,calibration
CRYL1,train
CRYZ,val
CRYZL1,val
CS,challenge
CSAD,calibration
CSDE1,challenge
CSF1,train
CSF1R,train
CSF2,train
CSF2RA,train
CSF2RB,train
CSF3R,train
CSGALNACT1,challenge
CSGALNACT2,challenge
CSH1,train
CSK,train
CSKMT,train
CSMD1,val
CSMD2,val
CSNK1D,train
CSNK1E,train
CSNK1G1,train
CSNK1G2,train
CSNK1G3,train
CSNK2A1,train
CSNK2A2,train
CSNK2B,train
CSPP1,val
CSRNP1,train
CSRNP2,calibration
CSRNP3,challenge
CSRP1,train
CST3,challenge
CST7,calibration
CSTA,challenge
CSTB,challenge
CSTF2,calibration
CSTF2T,calibration
CSTPP1,train
CTBP1,calibration
CTBP2,calibration
CTBS,train
CTC1,challenge
CTCF,train
CTCFL,train
CTDNEP1,train
CTDSP1,train
CTDSP2,train
CTDSPL,train
CTDSPL2,train
CTH,train
CTLA4,train
CTNNA1,challenge
CTNNAL1,challenge
CTNNB1,train
CTNNBIP1,challenge
CTNNBL1,train
CTNND1,challenge
CTNS,val
CTPS1,train
CTPS2,train
CTRL,train
CTSA,val
CTSB,train
CTSC,challenge
CTSD,challenge
CTSF,train
CTSH,train
CTSK,train
CTSL,train
CTSO,challenge
CTSS,train
CTSW,train
CTSZ,train
CTTN,challenge
CTU1,challenge
CTU2,train
CUEDC2,challenge
CUL3,challenge
CUL4A,train
CUL4B,train
CUL5,train
CUL7,train
CUL9,train
CUTA,train
CUTC,train
CUX1,calibration
CUX2,val
CUZD1,val
CWC25,train
CWC27,train
CWF19L1,train
CX3CR1,train
CXADR,train
CXCL1,train
CXCL10,challenge
CXCL11,train
CXCL13,train
CXCL14,challenge
CXCL16,train
CXCL3,train
CXCL5,train
CXCL8,train
CXCL9,train
CXCR2,train
CXCR3,train
CXCR4,train
CXCR5,train
CXCR6,train
CXXC1,calibration
CXXC4,train
CXXC5,train
CXorf38,challenge
CXorf65,train
CYB561,train
CYB561A3,train
CYB561D1,val
CYB561D2,val
CYB5A,train
CYB5B,train
CYB5D1,challenge
CYB5D2,train
CYB5R1,val
CYB5R3,val
CYB5R4,challenge
CYB5RL,challenge
CYBA,val
CYBB,val
CYBC1,train
CYBRD1,calibration
CYC1,challenge
CYCS,val
CYFIP1,challenge
CYFIP2,challenge
CYGB,train
CYLD,challenge
CYP1B1,train
CYP20A1,train
CYP27B1,val
CYP2D6,train
CYP2E1,train
CYP2R1,train
CYP2U1,train
CYP3A5,train
CYP46A1,challenge
CYP4V2,train
CYP51A1,challenge
CYP7B1,val
CYREN,train
CYRIA,train
CYRIB,train
CYSLTR1,train
CYSLTR2,train
CYSTM1,train
CYTH1,train
CYTH2,train
CYTH3,train
CYTH4,train
CYTIP,train
CZIB,train
D2HGDH,challenge
DAAM1,challenge
DAB2,train
DACH1,train
DACH2,train
DACT1,train
DAD1,train
DAG1,val
DAGLA,train
DAGLB,train
DALRD3,train
DAP,challenge
DAP3,calibration
DAPK1,train
DAPK2,calibration
DAPK3,train
DAPP1,val
DARS1,val
DARS2,train
DAXX,challenge
DAZAP1,train
DAZAP2,train
DBF4,calibration
DBF4B,val
DBH,challenge
DBI,train
DBN1,challenge
DBNDD1,train
DBNDD2,train
DBNL,train
DBP,train
DBT,challenge
DBX2,train
DCAF1,train
DCAF10,challenge
DCAF11,val
DCAF12,val
DCAF15,train
DCAF16,train
DCAF17,train
DCAF4,challenge
DCAF5,challenge
DCAF6,val
DCAF7,train
DCAKD,val
DCBLD1,train
DCBLD2,train
DCHS1,train
DCK,train
DCLRE1A,train
DCLRE1B,val
DCLRE1C,train
DCN,train
DCP1A,challenge
DCP1B,challenge
DCP2,challenge
DCPH1,train
DCPS,train
DCST2,challenge
DCTD,train
DCTN4,train
DCTPP1,val
DCUN1D1,challenge
DCUN1D2,train
DCUN1D3,challenge
DCUN1D4,challenge
DCUN1D5,challenge
DCXR,val
DDA1,train
DDAH2,challenge
DDB2,train
DDHD1,challenge
DDHD2,train
DDI2,train
DDIAS,calibration
DDIT3,train
DDIT4,train
DDOST,train
DDR1,challenge
DDR2,val
DDRGK1,val
DDT,calibration
DDTL,train
DDX1,train
DDX17,train
DDX19A,challenge
DDX19B,challenge
DDX20,train
DDX28,train
DDX31,train
DDX39A,challenge
DDX39B,challenge
DDX3X,train
DDX3Y,train
DDX42,train
DDX43,train
DDX5,train
DDX50,val
DDX52,train
DDX55,train
DDX6,challenge
DDX60,train
DDX60L,train
DEAF1,calibration
DECR1,challenge
DECR2,challenge
DEDD,train
DEDD2,train
DEF6,train
DEF8,train
DEFA3,train
DEFA5,train
DEFA6,train
DEFB1,train
DEFB131B,train
DEGS1,train
DEGS2,train
DEK,calibration
DELE1,train
DEMA1,train
DENND10,train
DENND11,val
DENND1A,train
DENND1B,train
DENND1C,train
DENND2B,train
DENND2D,val
DENND3,calibration
DENND4A,train
DENND4B,challenge
DENND4C,train
DENND5A,challenge
DENND6A,train
DENND6B,train
DENR,challenge
DEPDC1,train
DEPDC1B,val
DEPDC5,val
DEPDC7,train
DEPTOR,train
DERA,val
DERL1,train
DERL3,train
DESI1,val
DESI2,val
DET1,train
DEXI,train
DFFA,challenge
DFFB,challenge
DGAT1,val
DGCR2,train
DGCR6,train
DGCR6L,train
DGKA,train
DGKD,val
DGKE,train
DGKH,val
DGKI,train
DGKQ,train
DGKZ,train
DGLUCY,train
DGUOK,val
DHCR24,train
DHCR7,train
DHFR2,val
DHODH,val
DHPS,calibration
DHRS1,challenge
DHRS11,train
DHRS12,val
DHRS13,train
DHRS2,calibration
DHRS3,train
DHRS4,val
DHRS4L2,train
DHRS7,train
DHRS7B,train
DHTKD1,challenge
DHX30,train
DHX32,val
DHX33,train
DHX34,train
DHX35,train
DHX36,train
DHX38,train
DHX40,train
DHX57,train
DHX58,train
DHX9,train
DIABLO,train
DIAPH1,challenge
DIAPH2,train
DIAPH3,train
DIDO1,train
DIP2A,val
DIP2B,val
DIP2C,val
DIPK1A,challenge
DIPK1B,train
DIPK2A,challenge
DIS3,challenge
DIS3L,challenge
DIS3L2,train
DISC1,calibration
DISP1,train
DIXDC1,train
DKK3,train
DLAT,train
DLD,challenge
DLEC1,train
DLG1,train
DLG3,challenge
DLG4,train
DLG5,challenge
DLGAP4,train
DLGAP5,train
DLK2,train
DLL1,train
DLX1,train
DLX2,train
DLX3,train
DLX4,train
DLX5,train
DLX6,train
DMAC1,challenge
DMAC2,train
DMAC2L,challenge
DMBT1,train
DMBX1,train
DMC1,challenge
DMD,train
DMGDH,train
DMRT1,calibration
DMRT2,train
DMRT3,train
DMRTA1,train
DMRTA2,train
DMRTB1,train
DMRTC2,train
DMTF1,train
DMTN,challenge
DMWD,train
DMXL1,train
DMXL2,train
DNAAF10,train
DNAAF2,train
DNAAF5,train
DNAAF9,train
DNAH10,train
DNAH17,train
DNAH2,train
DNAH3,train
DNAH6,train
DNAH9,train
DNAI2,train
DNAJA1,train
DNAJA2,train
DNAJA3,train
DNAJA4,train
DNAJB1,train
DNAJB11,train
DNAJB12,challenge
DNAJB13,train
DNAJB14,challenge
DNAJB2,train
DNAJB4,train
DNAJB5,train
DNAJB6,train
DNAJB9,train
DNAJC1,train
DNAJC10,train
DNAJC12,train
DNAJC13,train
DNAJC14,train
DNAJC15,val
DNAJC16,train
DNAJC18,train
DNAJC19,train
DNAJC2,challenge
DNAJC21,train
DNAJC24,train
DNAJC25-GNG10,train
DNAJC27,train
DNAJC3,train
DNAJC30,val
DNAJC4,challenge
DNAJC5,train
DNAJC6,val
DNAJC7,train
DNAJC8,calibration
DNAJC9,train
DNAL1,val
DNAL4,challenge
DNASE1,train
DNASE1L1,val
DNASE2,train
DNHD1,train
DNLZ,train
DNM1L,challenge
DNM3,train
DNMBP,val
DNMT3A,train
DNMT3B,calibration
DNPEP,val
DNPH1,train
DNTTIP1,challenge
DOCK10,train
DOCK11,train
DOCK2,challenge
DOCK3,train
DOCK5,challenge
DOCK6,train
DOCK7,challenge
DOCK8,train
DOCK9,train
DOHH,challenge
DOK1,train
DOK2,train
DOK3,train
DOK4,train
DOK5,train
DOK6,train
DOLK,train
DOLPP1,train
DOP1A,train
DOP1B,train
DORIP1,train
DOT1L,train
DPCD,val
DPEP2,challenge
DPF1,train
DPF2,train
DPF3,train
DPH1,train
DPH2,train
DPH3,train
DPH5,train
DPH6,train
DPH7,val
DPM1,train
DPM2,train
DPM3,val
DPP3,train
DPP4,challenge
DPP7,challenge
DPP8,train
DPP9,train
DPRX,calibration
DPY19L1,calibration
DPY19L3,train
DPY19L4,val
DPYD,train
DPYSL2,train
DPYSL4,train
DR1,train
DRAM1,train
DRAM2,train
DRAP1,train
DRC2,train
DRC3,train
DRC4,val
DRC8,val
DRC9,train
DRG1,val
DRG2,val
DRGX,calibration
DRICH1,challenge
DSC1,val
DSC2,val
DSCC1,train
DSE,train
DSEL,train
DSP,val
DST,train
DSTN,train
DSTYK,train
DTD1,train
DTD2,train
DTHD1,train
DTNB,train
DTNBP1,challenge
DTWD1,train
DTWD2,challenge
DTX1,train
DTX3,val
DTX3L,train
DTX4,train
DTYMK,challenge
DUS1L,train
DUS2,train
DUS3L,train
DUS4L,val
DUSP1,challenge
DUSP10,train
DUSP11,train
DUSP12,train
DUSP14,train
DUSP16,challenge
DUSP18,train
DUSP19,challenge
DUSP2,val
DUSP22,train
DUSP23,val
DUSP28,challenge
DUSP3,train
DUSP4,challenge
DUSP5,challenge
DUSP6,train
DUSP7,challenge
DUSP8,train
DUX4,val
DUXA,train
DVL1,challenge
DVL2,challenge
DVL3,challenge
DXO,challenge
DYM,train
DYNC1LI1,train
DYNC1LI2,train
DYNC2H1,train
DYNC2I1,train
DYNC2I2,train
DYNC2LI1,train
DYNLL1,train
DYNLL2,train
DYNLT1,train
DYNLT2,train
DYNLT2B,train
DYNLT3,train
DYNLT4,calibration
DYRK1A,challenge
DYRK1B,challenge
DYRK2,train
DYRK3,train
DYRK4,train
DYSF,challenge
DZANK1,train
DZIP1,val
DZIP3,train
E2F1,train
E2F2,train
E2F3,train
E2F4,train
E2F5,train
E2F6,train
E2F7,train
E2F8,train
E4F1,train
EAF1,train
EAF2,challenge
EAPP,val
EARS2,train
EBAG9,challenge
EBF1,train
EBF2,train
EBF3,train
EBF4,train
EBI3,train
EBP,val
EBPL,val
ECE1,train
ECE2,train
ECH1,train
ECHDC1,train
ECHDC2,val
ECHS1,challenge
ECI1,train
ECI2,train
ECPAS,train
ECRG4,train
ECSIT,train
EDA,challenge
EDAR,val
EDARADD,train
EDC3,challenge
EDC4,challenge
EDEM1,train
EDEM2,train
EDEM3,val
EDF1,train
EDN1,train
EDN3,train
EDRF1,train
EEA1,train
EED,train
EEF1A1,train
EEF1AKMT1,train
EEF1AKMT2,train
EEF1AKMT3,train
EEF1B2,train
EEF1D,train
EEF1E1,val
EEF1G,train
EEF2K,train
EEF2KMT,train
EEFSEC,challenge
EEIG1,train
EEIG2,train
EEPD1,train
EFCAB11,calibration
EFCAB13,train
EFCAB14,val
EFCAB7,val
EFEMP2,val
EFHC1,train
EFHC2,train
EFHD1,calibration
EFHD2,calibration
EFNA1,challenge
EFNA4,val
EFNB1,train
EFNB2,train
EFR3A,train
EGF,train
EGFL6,train
EGFL7,challenge
EGFL8,train
EGLN1,train
EGLN2,challenge
EGLN3,train
EGR1,train
EGR2,train
EGR3,train
EGR4,train
EHBP1,challenge
EHBP1L1,train
EHD1,val
EHD3,val
EHD4,val
EHF,train
EHMT1,train
EHMT2,train
EI24,val
EID1,train
EID2,challenge
EID2B,train
EID3,train
EIF1,train
EIF1AD,train
EIF1AX,train
EIF1AY,train
EIF1B,train
EIF2A,train
EIF2AK1,train
EIF2AK2,train
EIF2AK3,train
EIF2AK4,train
EIF2B1,train
EIF2B4,train
EIF2D,train
EIF2S3,train
EIF3G,train
EIF3H,train
EIF3J,train
EIF3K,train
EIF3L,train
EIF4A1,challenge
EIF4A2,challenge
EIF4B,train
EIF4E,train
EIF4E2,calibration
EIF4E3,train
EIF4EBP1,val
EIF4EBP2,train
EIF4EBP3,val
EIF4ENIF1,challenge
EIF4G1,challenge
EIF4G2,val
EIF4G3,train
EIF4H,train
EIF5,val
EIF5A,challenge
EIF5A2,challenge
EIPR1,val
ELAC1,val
ELAC2,train
ELAPOR1,train
ELAPOR2,val
ELAVL1,train
ELF1,train
ELF2,train
ELF3,train
ELF4,train
ELF5,challenge
ELK1,train
ELK3,train
ELK4,train
ELL,train
ELL2,train
ELMO1,train
ELMO2,challenge
ELMOD2,challenge
ELMOD3,val
ELOA,train
ELOB,train
ELOC,train
ELOF1,train
ELOVL1,challenge
ELOVL4,train
ELOVL5,train
ELOVL6,train
ELOVL7,challenge
ELP1,train
ELP2,train
ELP3,train
ELP4,train
ELP5,train
ELP6,train
EMB,train
EMC1,challenge
EMC10,challenge
EMC2,challenge
EMC3,challenge
EMC4,challenge
EMC6,challenge
EMC7,challenge
EMC8,train
EMC9,challenge
EMD,challenge
EME1,val
EME2,challenge
EMG1,train
EMILIN2,challenge
EML2,challenge
EML3,val
EML4,val
EML5,train
EMP1,val
EMP3,val
EMX1,train
EMX2,train
EN1,train
EN2,train
ENC1,challenge
ENDOD1,train
ENDOG,train
ENDOV,challenge
ENG,train
ENGASE,val
ENKD1,val
ENKUR,train
ENO1,train
ENO2,train
ENO3,train
ENOPH1,train
ENOSF1,train
ENOX2,train
ENPP1,train
ENPP2,train
ENPP3,train
ENPP4,challenge
ENPP5,challenge
ENSA,val
ENSG00000289731,train
ENTPD1,train
ENTPD4,train
ENTPD5,train
ENTPD6,challenge
ENTPD7,train
ENTR1,train
ENTREP3,val
ENY2,train
EOGT,train
EOLA1,train
EOLA2,train
EOMES,val
EP300,train
EPAS1,train
EPB41,val
EPB41L2,val
EPB41L3,val
EPB41L5,val
EPB42,train
EPC1,train
EPC2,train
EPCAM,challenge
EPG5,train
EPGN,challenge
EPHA1,calibration
EPHA4,train
EPHB4,calibration
EPHB6,train
EPHX1,challenge
EPHX2,train
EPM2A,train
EPM2AIP1,train
EPN1,train
EPN2,train
EPOP,val
EPOR,val
EPPK1,train
EPS15,train
EPS15L1,train
EPS8,challenge
EPSTI1,train
ERAL1,val
ERAP1,train
ERAP2,train
ERBIN,train
ERC1,train
ERCC1,train
ERCC4,train
ERCC5,train
ERCC6,calibration
ERCC6L,train
ERCC6L2,train
ERCC8,train
EREG,challenge
ERF,train
ERG,calibration
ERG28,train
ERGIC1,train
ERGIC2,challenge
ERGIC3,challenge
ERI1,train
ERI2,train
ERI3,train
ERICH1,train
ERLEC1,train
ERLIN1,train
ERLIN2,train
ERMAP,train
ERMARD,val
ERMP1,challenge
ERN1,val
ERO1A,train
ERO1B,challenge
ERP27,val
ERP29,challenge
ERP44,train
ERRFI1,train
ERV3-1,train
ESAM,train
ESCO1,train
ESCO2,train
ESD,val
ESM1,challenge
ESPN,val
ESR1,train
ESR2,train
ESRRA,challenge
ESRRB,challenge
ESRRG,challenge
ESX1,val
ESYT1,train
ESYT2,train
ETAA1,calibration
ETFA,challenge
ETFB,challenge
ETFBKMT,train
ETFDH,train
ETFRF1,train
ETHE1,val
ETNK1,train
ETNK2,train
ETS1,calibration
ETS2,calibration
ETV1,calibration
ETV2,train
ETV3,calibration
ETV3L,train
ETV4,train
ETV5,train
ETV6,train
ETV7,train
EVA1B,train
EVA1C,challenge
EVC,val
EVC2,challenge
EVI2A,val
EVI2B,train
EVI5,train
EVI5L,train
EVL,train
EVX1,train
EVX2,train
EWSR1,train
EXD2,train
EXD3,challenge
EXO1,train
EXO5,train
EXOC1,train
EXOC2,train
EXOC3,calibration
EXOC4,train
EXOC6,train
EXOC6B,train
EXOC7,train
EXOC8,train
EXOG,train
EXOSC1,challenge
EXOSC10,challenge
EXOSC6,challenge
EXOSC9,challenge
EXPH5,train
EXT1,challenge
EXT2,train
EXTL2,val
EXTL3,train
EYA3,train
EYS,train
EZH1,train
EZH2,train
EZR,train
F11R,val
F12,val
F13A1,val
F2R,train
F2RL1,train
F3,train
F5,challenge
F8,challenge
F8A1,train
F8A3,train
FAAH,val
FAAH2,val
FAAP100,train
FAAP20,train
FAAP24,train
FABP1,train
FABP2,train
FABP3,train
FABP4,train
FABP5,train
FABP6,train
FADS1,train
FADS2,train
FADS3,train
FAF1,train
FAF2,train
FAH,train
FAHD1,challenge
FAHD2A,challenge
FAHD2B,challenge
FAIM,train
FAM107B,challenge
FAM110A,train
FAM110C,train
FAM111A,train
FAM111B,train
FAM114A2,train
FAM117A,train
FAM117B,train
FAM120A,train
FAM120AOS,val
FAM120B,train
FAM120C,train
FAM124B,challenge
FAM131A,challenge
FAM133B,train
FAM135A,calibration
FAM13A,train
FAM13B,train
FAM153A,challenge
FAM156A,train
FAM156B,train
FAM161A,challenge
FAM161B,train
FAM162A,train
FAM167B,train
FAM168A,train
FAM168B,train
FAM169A,train
FAM170A,train
FAM174A,challenge
FAM174B,val
FAM174C,train
FAM177A1,challenge
FAM184A,train
FAM184B,val
FAM185A,train
FAM193B,train
FAM199X,train
FAM204A,train
FAM209A,train
FAM209B,train
FAM20B,challenge
FAM20C,train
FAM216A,train
FAM217B,train
FAM219A,train
FAM219B,train
FAM220A,val
FAM221A,val
FAM222A,train
FAM222B,train
FAM227B,train
FAM229A,val
FAM229B,train
FAM234A,train
FAM234B,train
FAM241A,val
FAM241B,challenge
FAM24B,train
FAM3A,train
FAM3C,val
FAM3D,train
FAM43A,challenge
FAM50A,train
FAM50B,train
FAM53B,train
FAM53C,train
FAM72C,train
FAM76A,val
FAM76B,val
FAM78A,train
FAM78B,train
FAM86C1P,train
FAM89A,train
FAM89B,train
FAM8A1,train
FAM91A1,train
FAN1,val
FANCA,train
FANCB,train
FANCC,train
FANCD2,train
FANCE,train
FANCF,train
FANCG,train
FANCI,train
FANCL,train
FANCM,train
FANK1,challenge
FAR1,val
FAR2,val
FARP1,challenge
FARP2,challenge
FARS2,val
FARSA,train
FAS,train
FASLG,train
FASTK,train
FASTKD1,train
FASTKD2,train
FASTKD3,train
FASTKD5,train
FAXDC2,challenge
FBF1,val
FBH1,calibration
FBLIM1,train
FBLN5,challenge
FBLN7,val
FBN3,val
FBP1,train
FBRS,train
FBXL12,val
FBXL14,challenge
FBXL15,train
FBXL16,challenge
FBXL17,val
FBXL18,val
FBXL19,train
FBXL20,train
FBXL22,train
FBXL3,train
FBXL4,val
FBXL5,calibration
FBXL6,train
FBXL8,calibration
FBXL9P,train
FBXO10,train
FBXO11,train
FBXO2,train
FBXO21,train
FBXO22,train
FBXO25,train
FBXO28,train
FBXO3,challenge
FBXO30,train
FBXO31,train
FBXO32,train
FBXO33,train
FBXO34,train
FBXO36,train
FBXO38,challenge
FBXO4,val
FBXO40,calibration
FBXO41,train
FBXO42,train
FBXO43,calibration
FBXO44,train
FBXO45,challenge
FBXO46,train
FBXO48,train
FBXO6,val
FBXO7,train
FBXO8,train
FBXO9,train
FBXW2,val
FBXW4,train
FBXW5,calibration
FBXW7,train
FBXW8,train
FBXW9,val
FCAR,val
FCER1A,train
FCER1G,train
FCER2,challenge
FCGBP,train
FCGR2A,val
FCGR2B,train
FCGR3A,val
FCGR3B,val
FCGRT,train
FCHO1,train
FCHO2,train
FCHSD1,train
FCHSD2,train
FCMR,train
FCN1,train
FCRL1,train
FCRL3,val
FCRL6,val
FCRLA,train
FCSK,train
FDCSP,train
FDFT1,train
FDX1,challenge
FDX2,challenge
FDXACB1,val
FDXR,train
FECH,challenge
FEM1A,train
FEM1B,calibration
FEM1C,train
FEN1,train
FER,challenge
FERD3L,train
FERMT2,train
FERMT3,val
FERRY3,train
FES,train
FEV,val
FEZ1,calibration
FEZ2,calibration
FEZF1,challenge
FEZF2,challenge
FGD1,train
FGD2,train
FGD3,train
FGF11,challenge
FGF2,train
FGF9,train
FGFBP2,challenge
FGFBP3,challenge
FGFR1OP2,train
FGFR2,train
FGFRL1,train
FGGY,train
FGL2,train
FGR,train
FH,train
FHIP1B,train
FHIP2A,train
FHIP2B,train
FHIT,train
FHL1,train
FHL2,train
FHL3,train
FHOD1,val
FIBP,train
FICD,train
FIG4,train
FIGLA,val
FIGNL1,challenge
FIRRM,train
FIS1,challenge
FITM1,challenge
FITM2,val
FIZ1,train
FKBP11,train
FKBP14,train
FKBP15,challenge
FKBP1A,train
FKBP1B,train
FKBP2,val
FKBP3,train
FKBP4,train
FKBP5,train
FKBP7,val
FKBP8,calibration
FKBPL,train
FKRP,challenge
FKTN,challenge
FLACC1,challenge
